,idx,title,author,ban_info
42,43,Speak,"Anderson, Laurie Halse","Banned Pending Investigation, Florida, Flagler Schools, November 2021, Administrator; Banned Pending Investigation, Florida, Indian River County School District, November 2021, Administrator; Banned in Libraries and Classrooms, Idaho, Nampa School District, May 2022, Administrator; Banned Pending Investigation, Michigan, Gladwin Community Schools, May 2022, Administrator; Banned in Libraries, Mississippi, Madison County Schools, April 2022, Administrator; Banned in Libraries, Oklahoma, Bristow Public Schools, October 2021, Administrator; "
43,44,Feed,"Anderson, M. T.","Banned Pending Investigation, Florida, Indian River County School District, November 2021, Administrator; "
44,45,Some Assembly Required: The Not-So-Secret Life of a Transgender Teen,"Andrews, Arin","Banned Pending Investigation, Texas, North East Independent School District, December 2021, Administrator; "
45,46,Me and Earl and the Dying Girl,"Andrews, Jesse","Banned in Libraries and Classrooms, Florida, Indian River County School District, November 2021, Administrator; Banned Pending Investigation, Florida, Osceola County School District, April 2022, Administrator; Banned in Libraries and Classrooms, Georgia, Forsyth County Schools, January 2022, Administrator; Banned in Libraries, Iowa, Ankeny Community School District, November 2021, Formal Challenge; Banned Pending Investigation, Pennsylvania, Downingtown Area School District, October 2021, Administrator; Banned Pending Investigation, Pennsylvania, Elizabethtown Area School District, April 2022, Formal Challenge; Banned in Libraries, Tennessee, Blount County Schools, November 2021, Formal Challenge; Banned in Libraries, Texas, Cypress-Fairbanks Independent School District, January 2022, Administrator; Banned in Libraries and Classrooms, Texas, Fredericksburg Independent School District, March 2022, Administrator; Banned Pending Investigation, Texas, Granbury Independent School District, January 2022, Administrator; Banned in Libraries and Classrooms, Texas, Katy Independent School District, November 2021, Administrator; Banned in Libraries, Texas, Keller Independent School District, November 2021, Formal Challenge; Banned Pending Investigation, Texas, Lamar Consolidated Independent School District, December 2021, Administrator; Banned Pending Investigation, Texas, North East Independent School District, December 2021, Administrator; "
46,47,The Haters,"Andrews, Jesse","Banned Pending Investigation, Florida, Brevard Public Schools, March 2022, Administrator; Banned in Libraries, Florida, Indian River County School District, November 2021, Administrator; Banned Pending Investigation, Michigan, Rochester Community Schools District, April 2022, Administrator; "
47,48,The 5 O'Clock Band,"Andrews, Troy","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
48,49,Trombone Shorty,"Andrews, Troy","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
49,50,And Still I Rise,"Angelou, Maya","Banned Pending Investigation, Texas, Klein Independent School District, December 2021, Administrator; "
50,51,I Know Why The Caged Bird Sings,"Angelou, Maya","Banned in Libraries and Classrooms, Oklahoma, Bristow Public Schools, October 2021, Administrator; Banned in Libraries and Classrooms, Oklahoma, Edmond Public Schools, October 2021, Administrator; "
51,52,Modern Romance: An Investigation,"Ansari, Aziz","Banned Pending Investigation, Missouri, Wentzville School District, October 2021, Formal Challenge; "
52,53,Duels and Deception,"Anstey, Cindy","Banned in Libraries, Texas, Katy Independent School District, April 2022, Administrator; "
53,54,LGBTQ Families: The Ultimate Teen Guide,"Apelqvist, Eva","Banned Pending Investigation, Texas, North East Independent School District, December 2021, Administrator; "
54,55,Wishtree,"Applegate, Katherine","Banned in Libraries and Classrooms, Florida, Indian River County School District, November 2021, Administrator; "
55,56,Meet Cute: Some People Are Destined to Meet,"Armentrout, Jennifer L.","Banned Pending Investigation, Texas, Granbury Independent School District, January 2022, Administrator; "
56,57,A Boy Called Bat (A Boy Called Bat Series),"Arnold, Elana K.","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
57,58,Bat and the End of Everything (A Boy Called Bat Series),"Arnold, Elana K.","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
58,59,Bat and the Waiting Game (A Boy Called Bat Series),"Arnold, Elana K.","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
59,60,Damsel,"Arnold, Elana K.","Banned Pending Investigation, Florida, Brevard Public Schools, March 2022, Administrator; "
60,61,Infandous,"Arnold, Elana K.","Banned Pending Investigation, Florida, Brevard Public Schools, March 2022, Administrator; Banned in Libraries, Oklahoma, Bristow Public Schools, October 2021, Administrator; "
61,62,Red Hood,"Arnold, Elana K.","Banned Pending Investigation, Florida, Brevard Public Schools, March 2022, Administrator; "
62,63,What Girls Are Made Of,"Arnold, Elana K.","Banned Pending Investigation, Florida, Brevard Public Schools, March 2022, Administrator; Banned in Libraries and Classrooms, Texas, Cypress-Fairbanks Independent School District, April 2022, Administrator; Banned in Libraries and Classrooms, Texas, Frisco Independent School District, May 2022, Administrator; "
63,64,A Girl on the Shore,"Asano, Inio","Banned in Libraries and Classrooms, Ohio, Hudson City Schools, September 2021, Administrator; "
